Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,Unnamed: 30_level_0
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,James Harden,26.0,HOU,SG,82.0,82.0,3125.0,0.439,14.4,0.594,0.246,0.124,0.105,0.12,0.406,0.494,0.65,0.328,0.426,0.402,0.359,0.181,0.521,0.011,16.0,0.094,0.274,0.0,0.0,"MVP-9,AS"
2.0,Gordon Hayward,25.0,UTA,SF,80.0,80.0,2893.0,0.433,13.6,0.659,0.209,0.182,0.128,0.14,0.341,0.477,0.622,0.438,0.409,0.375,0.349,0.32,0.797,0.051,52.0,0.234,0.385,2.0,0.0,
3.0,Kemba Walker,25.0,CHO,PG,81.0,81.0,2885.0,0.427,14.8,0.632,0.25,0.092,0.091,0.2,0.368,0.459,0.598,0.336,0.38,0.376,0.371,0.189,0.599,0.0,0.0,0.106,0.404,4.0,1.0,
4.0,Trevor Ariza,30.0,HOU,SF,81.0,81.0,2859.0,0.416,16.2,0.419,0.255,0.054,0.035,0.077,0.581,0.478,0.594,0.283,0.267,0.318,0.371,0.599,0.914,0.068,55.0,0.415,0.43,1.0,0.0,DPOY-13
5.0,Marcus Morris,26.0,DET,SF,80.0,80.0,2856.0,0.434,15.0,0.685,0.158,0.106,0.213,0.211,0.315,0.467,0.671,0.34,0.383,0.457,0.362,0.348,0.926,0.016,15.0,0.285,0.329,2.0,0.0,
6.0,Khris Middleton,24.0,MIL,SG,79.0,79.0,2852.0,0.444,15.2,0.684,0.146,0.123,0.189,0.226,0.316,0.466,0.635,0.397,0.44,0.415,0.396,0.415,0.888,0.02,22.0,0.224,0.432,2.0,0.0,
7.0,Kyle Lowry,29.0,TOR,PG,77.0,77.0,2851.0,0.427,15.6,0.543,0.216,0.141,0.07,0.117,0.457,0.461,0.602,0.355,0.357,0.386,0.388,0.17,0.684,0.0,0.0,0.101,0.491,2.0,1.0,"MVP-10,DPOY-13,AS,NBA3"
8.0,Andrew Wiggins,20.0,MIN,SF,81.0,81.0,2845.0,0.459,10.9,0.853,0.321,0.158,0.132,0.243,0.147,0.486,0.648,0.456,0.386,0.347,0.3,0.51,0.825,0.07,84.0,0.158,0.4,1.0,0.0,
9.0,Giannis Antetokounmpo,21.0,MIL,PG,80.0,79.0,2823.0,0.506,7.5,0.892,0.509,0.18,0.058,0.143,0.108,0.537,0.684,0.346,0.288,0.359,0.257,0.485,0.821,0.143,141.0,0.321,0.343,4.0,0.0,
10.0,Paul George,25.0,IND,SF,81.0,81.0,2819.0,0.418,16.2,0.609,0.168,0.081,0.118,0.242,0.391,0.447,0.602,0.415,0.351,0.397,0.371,0.319,0.71,0.024,32.0,0.239,0.415,0.0,0.0,"AS,NBA3,DEF2"
11.0,Draymond Green,25.0,GSW,PF,81.0,81.0,2808.0,0.49,10.0,0.685,0.488,0.144,0.023,0.029,0.315,0.537,0.618,0.339,0.368,0.292,0.388,0.618,0.96,0.061,47.0,0.093,0.417,1.0,0.0,"MVP-7,DPOY-2,AS,NBA2,DEF1"
12.0,DeMar DeRozan,26.0,TOR,SG,78.0,78.0,2804.0,0.446,11.2,0.899,0.226,0.213,0.214,0.247,0.101,0.458,0.63,0.433,0.415,0.359,0.338,0.252,0.83,0.029,36.0,0.424,0.441,3.0,0.0,AS
13.0,Kentavious Caldwell-Pope,22.0,DET,SG,76.0,76.0,2789.0,0.42,14.8,0.616,0.228,0.116,0.107,0.166,0.384,0.489,0.639,0.333,0.476,0.396,0.309,0.481,0.842,0.027,23.0,0.266,0.378,5.0,0.0,
14.0,John Wall,25.0,WAS,PG,77.0,77.0,2784.0,0.424,13.7,0.757,0.29,0.064,0.094,0.31,0.243,0.448,0.598,0.302,0.37,0.359,0.351,0.188,0.67,0.032,40.0,0.116,0.368,2.0,0.0,AS
15.0,CJ McCollum,24.0,POR,SG,80.0,80.0,2780.0,0.448,14.7,0.67,0.174,0.149,0.147,0.201,0.33,0.463,0.522,0.408,0.476,0.443,0.417,0.203,0.721,0.008,10.0,0.214,0.436,0.0,0.0,MIP-1
16.0,Russell Westbrook,27.0,OKC,PG,80.0,80.0,2750.0,0.454,10.9,0.764,0.377,0.11,0.171,0.106,0.236,0.503,0.596,0.409,0.429,0.392,0.296,0.177,0.426,0.054,69.0,0.1,0.265,1.0,0.0,"MVP-4,AS,NBA1"
17.0,Monta Ellis,30.0,IND,SG,81.0,81.0,2734.0,0.427,14.4,0.724,0.236,0.088,0.109,0.292,0.276,0.472,0.593,0.478,0.441,0.383,0.309,0.221,0.724,0.006,6.0,0.287,0.383,5.0,0.0,
18.0,LeBron James,31.0,CLE,SF,76.0,76.0,2709.0,0.52,9.6,0.801,0.459,0.119,0.093,0.129,0.199,0.573,0.722,0.361,0.348,0.404,0.309,0.378,0.598,0.083,111.0,0.117,0.273,0.0,0.0,"MVP-3,DPOY-11,AS,NBA1"
19.0,Joe Johnson,34.0,2TM,SF,81.0,81.0,2703.0,0.439,15.1,0.636,0.075,0.246,0.156,0.159,0.364,0.471,0.594,0.474,0.507,0.372,0.383,0.206,0.892,0.0,0.0,0.339,0.415,3.0,0.0,
19.0,Joe Johnson,34.0,BRK,SF,57.0,57.0,1934.0,0.406,16.0,0.623,0.063,0.232,0.156,0.173,0.377,0.427,0.579,0.426,0.474,0.333,0.371,0.241,0.906,0.0,0.0,0.279,0.422,2.0,0.0,
19.0,Joe Johnson,34.0,MIA,SF,24.0,24.0,769.0,0.518,14.2,0.665,0.104,0.279,0.155,0.127,0.335,0.569,0.615,0.571,0.59,0.5,0.417,0.147,0.857,0.0,0.0,0.5,0.405,1.0,0.0,
20.0,Stephen Curry,27.0,GSW,PG,79.0,79.0,2700.0,0.504,17.4,0.446,0.225,0.084,0.048,0.088,0.554,0.566,0.696,0.422,0.447,0.443,0.454,0.372,0.547,0.004,7.0,0.129,0.482,11.0,2.0,"MVP-1,AS,NBA1"
21.0,Damian Lillard,25.0,POR,PG,75.0,75.0,2676.0,0.419,15.0,0.586,0.26,0.11,0.072,0.145,0.414,0.45,0.546,0.315,0.368,0.423,0.375,0.203,0.472,0.009,11.0,0.056,0.382,3.0,0.0,"MVP-8,NBA2"
22.0,Andre Drummond,22.0,DET,C,81.0,81.0,2666.0,0.521,3.1,0.994,0.592,0.358,0.042,0.004,0.006,0.522,0.612,0.409,0.227,0.25,0.333,0.533,0.0,0.125,115.0,0.0,,4.0,1.0,"DPOY-10,AS,NBA3"
23.0,Klay Thompson,25.0,GSW,SG,80.0,80.0,2666.0,0.47,16.5,0.531,0.182,0.082,0.131,0.138,0.469,0.51,0.687,0.336,0.423,0.455,0.425,0.725,0.92,0.013,15.0,0.246,0.419,4.0,0.0,"AS,NBA3"
24.0,Paul Millsap,30.0,ATL,PF,81.0,81.0,2647.0,0.47,9.9,0.782,0.363,0.205,0.131,0.084,0.218,0.512,0.63,0.385,0.464,0.378,0.319,0.644,0.973,0.046,40.0,0.181,0.19,1.0,0.0,"DPOY-5,AS,DEF2"
25.0,Isaiah Thomas,26.0,BOS,PG,82.0,79.0,2644.0,0.428,12.2,0.664,0.34,0.135,0.104,0.084,0.336,0.462,0.581,0.289,0.382,0.362,0.359,0.337,0.647,0.0,0.0,0.142,0.47,0.0,0.0,AS
26.0,Wesley Matthews,29.0,DAL,SF,78.0,78.0,2644.0,0.388,18.5,0.385,0.105,0.093,0.081,0.107,0.615,0.432,0.5,0.342,0.406,0.462,0.36,0.415,0.884,0.002,2.0,0.288,0.424,0.0,0.0,
27.0,Al Horford,29.0,ATL,C,82.0,82.0,2631.0,0.505,12.3,0.756,0.3,0.136,0.089,0.231,0.244,0.557,0.745,0.385,0.355,0.492,0.344,0.776,1.0,0.084,84.0,0.227,0.259,0.0,0.0,"DPOY-13,AS"
28.0,Karl-Anthony Towns,20.0,MIN,C,82.0,82.0,2627.0,0.542,9.8,0.924,0.342,0.211,0.091,0.279,0.076,0.559,0.701,0.465,0.41,0.506,0.341,0.667,0.9,0.069,72.0,0.102,0.222,1.0,0.0,ROY-1
29.0,DeAndre Jordan,27.0,LAC,C,77.0,77.0,2598.0,0.703,1.2,0.998,0.839,0.154,0.006,0.0,0.002,0.704,0.765,0.385,0.333,,0.0,0.782,,0.488,227.0,0.0,,0.0,0.0,"DPOY-4,NBA1,DEF1"
30.0,Kevin Durant,27.0,OKC,SF,72.0,72.0,2578.0,0.505,14.6,0.652,0.212,0.098,0.182,0.161,0.348,0.569,0.737,0.437,0.542,0.455,0.387,0.518,0.64,0.081,106.0,0.037,0.389,0.0,0.0,"MVP-5,AS,NBA2"
31.0,Evan Fournier,23.0,ORL,SF,79.0,71.0,2566.0,0.462,14.1,0.58,0.3,0.125,0.053,0.103,0.42,0.506,0.634,0.405,0.388,0.313,0.4,0.473,0.865,0.011,9.0,0.2,0.397,4.0,0.0,
32.0,Jordan Clarkson,23.0,LAL,SG,79.0,79.0,2552.0,0.433,12.6,0.709,0.261,0.195,0.106,0.149,0.291,0.468,0.54,0.477,0.379,0.384,0.347,0.305,0.757,0.026,23.0,0.191,0.295,2.0,0.0,
