Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,CJ McCollum,28.0,POR,SG,70.0,70.0,2556.0,8.6,19.1,0.451,2.7,7.2,0.379,5.9,11.9,0.494,0.522,2.0,2.6,0.757,0.6,3.5,4.2,4.4,0.8,0.6,1.8,2.6,21.9,
2.0,Devin Booker,23.0,PHO,SG,70.0,70.0,2512.0,9.0,18.4,0.489,2.0,5.7,0.354,7.0,12.7,0.549,0.544,6.7,7.3,0.919,0.4,3.8,4.3,6.5,0.7,0.3,3.8,3.1,26.7,AS
3.0,James Harden,30.0,HOU,SG,68.0,68.0,2483.0,9.7,22.0,0.444,4.3,12.2,0.355,5.4,9.7,0.556,0.543,10.0,11.6,0.865,1.0,5.5,6.5,7.4,1.8,0.9,4.5,3.3,33.9,"MVP-3,AS,NBA1"
4.0,Harrison Barnes,27.0,SAC,PF,72.0,72.0,2482.0,5.3,11.5,0.46,1.5,3.9,0.381,3.8,7.6,0.501,0.525,3.1,3.9,0.801,1.1,4.0,5.1,2.3,0.6,0.2,1.3,1.3,15.2,
5.0,Damian Lillard,29.0,POR,PG,66.0,66.0,2474.0,9.1,19.6,0.463,3.9,9.8,0.401,5.2,9.8,0.524,0.563,6.7,7.5,0.888,0.5,3.7,4.1,7.7,1.0,0.3,2.8,1.7,28.8,"MVP-8,AS,NBA2"
6.0,Tobias Harris,27.0,PHI,PF,72.0,72.0,2469.0,8.1,17.1,0.471,1.9,5.2,0.367,6.2,11.9,0.517,0.527,2.5,3.1,0.806,1.0,6.2,7.2,3.3,0.8,0.6,1.5,2.4,20.6,
7.0,P.J. Tucker,34.0,HOU,PF,72.0,72.0,2467.0,2.6,6.2,0.415,1.6,4.4,0.358,1.0,1.9,0.551,0.541,0.6,0.7,0.813,1.6,5.3,6.9,1.7,1.1,0.5,1.1,3.3,7.3,
8.0,Shai Gilgeous-Alexander,21.0,OKC,SG,70.0,70.0,2428.0,7.1,15.0,0.471,1.3,3.7,0.347,5.8,11.3,0.512,0.514,4.3,5.3,0.807,0.7,5.4,6.1,3.4,1.2,0.7,2.0,1.7,19.7,
9.0,Bam Adebayo,22.0,MIA,PF,72.0,72.0,2417.0,6.6,11.8,0.557,0.0,0.2,0.143,6.5,11.6,0.564,0.558,3.9,5.7,0.691,2.6,8.3,10.9,5.5,1.2,1.4,3.0,2.7,17.1,"DPOY-5,AS,DEF2"
10.0,Donovan Mitchell,23.0,UTA,SG,69.0,69.0,2364.0,9.2,20.4,0.449,2.6,7.2,0.366,6.5,13.2,0.494,0.513,4.2,4.9,0.863,0.8,3.8,4.6,4.5,1.1,0.2,2.8,2.6,25.2,AS
11.0,Nikola JokiÄ,24.0,DEN,C,73.0,73.0,2336.0,8.7,16.5,0.528,1.2,3.9,0.314,7.5,12.6,0.594,0.565,3.8,4.6,0.817,2.6,8.4,11.0,7.9,1.3,0.7,3.5,3.4,22.4,"MVP-9,AS,NBA2"
12.0,Rudy Gobert,27.0,UTA,C,68.0,68.0,2333.0,6.0,8.6,0.693,0.0,0.0,,6.0,8.6,0.693,0.693,3.9,6.2,0.63,3.5,10.6,14.1,1.6,0.8,2.1,2.0,3.3,15.8,"DPOY-3,AS,NBA3,DEF1"
13.0,DeMar DeRozan,30.0,SAS,SF,68.0,68.0,2316.0,8.7,16.3,0.531,0.1,0.5,0.257,8.5,15.8,0.54,0.535,5.9,7.0,0.845,0.7,5.1,5.8,5.9,1.1,0.3,2.5,2.8,23.4,
14.0,LeBron James,35.0,LAL,PG,67.0,67.0,2316.0,10.0,20.3,0.493,2.3,6.6,0.348,7.7,13.6,0.564,0.55,4.1,5.9,0.693,1.0,7.1,8.2,10.6,1.2,0.6,4.1,1.8,26.4,"MVP-2,AS,NBA1"
15.0,Jayson Tatum,21.0,BOS,PF,66.0,66.0,2265.0,8.8,19.5,0.45,3.0,7.5,0.403,5.8,12.0,0.48,0.527,4.0,5.0,0.812,1.0,6.3,7.3,3.2,1.5,0.9,2.5,2.2,24.6,"MVP-12,AS,NBA3"
16.0,Buddy Hield,27.0,SAC,SG,72.0,44.0,2216.0,8.1,18.9,0.429,4.4,11.2,0.394,3.7,7.7,0.479,0.545,1.9,2.2,0.846,0.9,4.4,5.3,3.5,1.1,0.3,2.7,2.7,22.5,
17.0,Devonte' Graham,24.0,CHO,PG,63.0,53.0,2211.0,6.0,15.7,0.382,3.5,9.5,0.373,2.4,6.2,0.397,0.495,3.1,3.8,0.82,0.7,2.8,3.5,7.7,1.0,0.2,2.9,1.9,18.6,
18.0,Chris Paul,34.0,OKC,PG,70.0,70.0,2208.0,7.1,14.5,0.489,1.8,5.0,0.365,5.3,9.5,0.554,0.552,4.1,4.5,0.907,0.4,5.3,5.7,7.7,1.8,0.2,2.6,2.6,20.1,"MVP-7,AS,NBA2"
19.0,T.J. Warren,26.0,IND,SF,67.0,67.0,2202.0,8.7,16.3,0.536,1.5,3.7,0.403,7.2,12.6,0.575,0.581,2.7,3.3,0.819,1.1,3.5,4.6,1.6,1.3,0.6,1.4,3.1,21.7,
20.0,Duncan Robinson,25.0,MIA,SG,73.0,68.0,2166.0,5.4,11.4,0.47,4.5,10.1,0.446,0.9,1.3,0.654,0.667,1.1,1.2,0.931,0.2,3.7,3.9,1.7,0.6,0.3,1.2,3.2,16.3,
21.0,Terry Rozier,25.0,CHO,PG,63.0,63.0,2164.0,6.6,15.7,0.423,2.9,7.0,0.407,3.8,8.6,0.436,0.514,2.8,3.2,0.874,0.8,3.8,4.6,4.3,1.0,0.2,2.3,2.1,18.9,
